entity;three_class;jour;hosp;rea;dc hebdo;taux hosp;taux rea;taux décès
Auvergne-Rhône-Alpes;whole;2020-04-02;2706;700;271.0;33.688657790838256;8.71473039674308;3.3738456250248214
Auvergne-Rhône-Alpes;0-29;2020-04-03;38;6;0.0;1.3403071631305485;0.2116274468100866;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-03;523;168;9.0;16.94971832031208;5.444651391610765;0.2916777531220052
Auvergne-Rhône-Alpes;60+;2020-04-03;2217;532;266.0;104.9910281685672;25.194058180278642;12.597029090139321
Auvergne-Rhône-Alpes;whole;2020-04-03;2838;725;284.0;35.33200695136695;9.025970768055334;3.535690618107193
Auvergne-Rhône-Alpes;0-29;2020-04-04;43;7;0.0;1.5166633688056206;0.24689868794510103;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-04;517;170;9.0;16.75526648489741;5.509468670082321;0.2916777531220052
Auvergne-Rhône-Alpes;60+;2020-04-04;2257;553;267.0;106.88531825730995;26.188560476868588;12.64438634235789
Auvergne-Rhône-Alpes;whole;2020-04-04;2874;749;284.0;35.78019308605659;9.324761524515097;3.535690618107193
Auvergne-Rhône-Alpes;0-29;2020-04-05;42;5;0.0;1.4813921276706061;0.17635620567507215;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-05;536;183;14.0;17.371030630377202;5.93078098014744;0.453720949300897
Auvergne-Rhône-Alpes;60+;2020-04-05;2347;571;260.0;111.14747095698114;27.040991016802828;12.312885576827906
Auvergne-Rhône-Alpes;whole;2020-04-05;2983;779;281.0;37.13720110497801;9.6982499700898;3.498341773549723
Auvergne-Rhône-Alpes;0-29;2020-04-06;47;7;0.0;1.6577483333456782;0.24689868794510103;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-06;533;183;13.0;17.273804712669865;5.93078098014744;0.4213123100651187
Auvergne-Rhône-Alpes;60+;2020-04-06;2396;575;272.0;113.46797631569103;27.230420025677102;12.881172603450734
Auvergne-Rhône-Alpes;whole;2020-04-06;3030;783;291.0;37.72233300304505;9.748048429499761;3.6228379220746234
Auvergne-Rhône-Alpes;0-29;2020-04-07;41;5;0.0;1.4461208865355917;0.17635620567507215;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-07;484;166;14.0;15.685781390116727;5.379834113139208;0.453720949300897
Auvergne-Rhône-Alpes;60+;2020-04-07;2385;566;285.0;112.94704654128675;26.804204755709982;13.496816882292128
Auvergne-Rhône-Alpes;whole;2020-04-07;2959;755;305.0;36.83841034851825;9.399459213630037;3.797132530009485
Auvergne-Rhône-Alpes;0-29;2020-04-08;34;6;0.0;1.1992221985904907;0.2116274468100866;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-08;447;156;19.0;14.486661738392927;5.055747720781424;0.6157641454797887
Auvergne-Rhône-Alpes;60+;2020-04-08;2382;557;281.0;112.80497478463106;26.377989485742862;13.307387873417854
Auvergne-Rhône-Alpes;whole;2020-04-08;2908;736;305.0;36.203479991041256;9.162916531432725;3.797132530009485
Auvergne-Rhône-Alpes;0-29;2020-04-09;35;7;0.0;1.2344934397255052;0.24689868794510103;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-09;432;145;16.0;14.000532149856252;4.699252689187863;0.5185382277724538
Auvergne-Rhône-Alpes;60+;2020-04-09;2449;554;262.0;115.97791068327517;26.235917729087152;12.407600081265043
Auvergne-Rhône-Alpes;whole;2020-04-09;2962;720;281.0;36.87575919307572;8.963722693792883;3.498341773549723
Auvergne-Rhône-Alpes;0-29;2020-04-10;40;5;0.0;1.4108496454005772;0.17635620567507215;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-10;431;141;15.0;13.968123510620472;4.569618132244749;0.48612958853667537
Auvergne-Rhône-Alpes;60+;2020-04-10;2438;538;255.0;115.4569809088709;25.478201693590055;12.076099315735064
Auvergne-Rhône-Alpes;whole;2020-04-10;2950;698;273.0;36.72636381484585;8.6898311670381;3.398744854729802
Auvergne-Rhône-Alpes;0-29;2020-04-11;39;6;0.0;1.3755784042655628;0.2116274468100866;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-11;425;137;15.0;13.773671675205803;4.4399835753016355;0.48612958853667537
Auvergne-Rhône-Alpes;60+;2020-04-11;2484;524;259.0;117.63541451092509;24.815200162530086;12.265528324609338
Auvergne-Rhône-Alpes;whole;2020-04-11;2985;682;277.0;37.162100334683;8.49063732939826;3.448543314139762
Auvergne-Rhône-Alpes;0-29;2020-04-12;39;5;0.0;1.3755784042655628;0.17635620567507215;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-12;420;138;11.0;13.611628479026912;4.472392214537414;0.35649503159356194
Auvergne-Rhône-Alpes;60+;2020-04-12;2530;516;251.0;119.81384811297926;24.436342144781538;11.886670306860788
Auvergne-Rhône-Alpes;whole;2020-04-12;3025;674;265.0;37.660084928782595;8.391040410578338;3.2991479359098803
Auvergne-Rhône-Alpes;0-29;2020-04-13;37;5;0.0;1.3050359219955339;0.17635620567507215;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-13;419;133;10.0;13.579219839791133;4.310349018358522;0.3240863923577836
Auvergne-Rhône-Alpes;60+;2020-04-13;2562;518;227.0;121.32928018397345;24.531056649218677;10.750096253615133
Auvergne-Rhône-Alpes;whole;2020-04-13;3055;671;239.0;38.0335733743573;8.353691566020867;2.9754579497451377
Auvergne-Rhône-Alpes;0-29;2020-04-14;32;4;0.0;1.1286797163204618;0.14108496454005773;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-14;407;127;8.0;13.190316168961791;4.1158971829438515;0.2592691138862269
Auvergne-Rhône-Alpes;60+;2020-04-14;2572;514;227.0;121.80285270615913;24.341627640344402;10.750096253615133
Auvergne-Rhône-Alpes;whole;2020-04-14;3044;659;236.0;37.89662761097991;8.204296187790987;2.9381091051876673
Auvergne-Rhône-Alpes;0-29;2020-04-15;30;6;0.0;1.058137234050433;0.2116274468100866;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-15;386;120;4.0;12.509734745010448;3.889036708293403;0.12963455694311346
Auvergne-Rhône-Alpes;60+;2020-04-15;2558;501;227.0;121.13985117509918;23.725983361503005;10.750096253615133
Auvergne-Rhône-Alpes;whole;2020-04-15;3004;639;231.0;37.39864301688031;7.955303890741184;2.8758610309252166
Auvergne-Rhône-Alpes;0-29;2020-04-16;35;6;0.0;1.2344934397255052;0.2116274468100866;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-16;369;115;4.0;11.958787878002214;3.7269935121145115;0.12963455694311346
Auvergne-Rhône-Alpes;60+;2020-04-16;2535;495;238.0;120.05063437407209;23.44183984819159;11.271026028019392
Auvergne-Rhône-Alpes;whole;2020-04-16;2970;628;242.0;36.97535611189564;7.818358127363792;3.012806794302608
Auvergne-Rhône-Alpes;0-29;2020-04-17;37;8;0.0;1.3050359219955339;0.28216992908011546;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-17;356;109;6.0;11.537475567937097;3.532541676699841;0.19445183541467015
Auvergne-Rhône-Alpes;60+;2020-04-17;2545;473;227.0;120.52420689625778;22.399980299383078;10.750096253615133
Auvergne-Rhône-Alpes;whole;2020-04-17;2965;601;233.0;36.913108037633194;7.482218526346561;2.900760260630197
Auvergne-Rhône-Alpes;0-29;2020-04-18;37;7;0.0;1.3050359219955339;0.24689868794510103;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-18;348;110;5.0;11.27820645405087;3.56495031593562;0.1620431961788918
Auvergne-Rhône-Alpes;60+;2020-04-18;2532;453;231.0;119.90856261741638;21.4528352550117;10.93952526248941
Auvergne-Rhône-Alpes;whole;2020-04-18;2942;578;237.0;36.62676689602592;7.195877384739287;2.9505587200401573
Auvergne-Rhône-Alpes;0-29;2020-04-19;41;9;0.0;1.4461208865355917;0.31744117021512985;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-19;353;109;5.0;11.440249650229761;3.532541676699841;0.1620431961788918
Auvergne-Rhône-Alpes;60+;2020-04-19;2564;447;232.0;121.42399468841059;21.168691741700286;10.986882514707979
Auvergne-Rhône-Alpes;whole;2020-04-19;2983;573;238.0;37.13720110497801;7.133629310476835;2.9630083348926477
Auvergne-Rhône-Alpes;0-29;2020-04-20;43;10;0.0;1.5166633688056206;0.3527124113501443;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-20;345;107;7.0;11.180980536343533;3.467724398228284;0.2268604746504485
Auvergne-Rhône-Alpes;60+;2020-04-20;2524;451;259.0;119.52970459966784;21.35812075057456;12.265528324609338
Auvergne-Rhône-Alpes;whole;2020-04-20;2936;576;268.0;36.55206920691098;7.170978155034307;3.3364967804673515
Auvergne-Rhône-Alpes;0-29;2020-04-21;35;10;0.0;1.2344934397255052;0.3527124113501443;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-21;336;105;8.0;10.88930278322153;3.402907119756728;0.2592691138862269
Auvergne-Rhône-Alpes;60+;2020-04-21;2477;428;256.0;117.3039137453951;20.26890394954748;12.123456567953632
Auvergne-Rhône-Alpes;whole;2020-04-21;2872;551;267.0;35.755293856351614;6.859737783722054;3.324047165614861
Auvergne-Rhône-Alpes;0-29;2020-04-22;37;11;0.0;1.3050359219955339;0.3879836524851587;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-22;336;99;7.0;10.88930278322153;3.2084552843420577;0.2268604746504485
Auvergne-Rhône-Alpes;60+;2020-04-22;2420;398;238.0;114.60455036893667;18.848186382990413;11.271026028019392
Auvergne-Rhône-Alpes;whole;2020-04-22;2816;516;248.0;35.05811542461217;6.4240012638849;3.0875044834175487
Auvergne-Rhône-Alpes;0-29;2020-04-23;35;8;0.0;1.2344934397255052;0.28216992908011546;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-23;324;87;7.0;10.50039911239219;2.8195516135127177;0.2268604746504485
Auvergne-Rhône-Alpes;60+;2020-04-23;2380;380;228.0;112.71026028019392;17.99575584305617;10.797453505833703
Auvergne-Rhône-Alpes;whole;2020-04-23;2760;483;240.0;34.360936992872716;6.013163973752726;2.987907564597628
Auvergne-Rhône-Alpes;0-29;2020-04-24;31;6;0.0;1.0934084751854474;0.2116274468100866;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-24;309;84;7.0;10.014269523855512;2.7223256958053823;0.2268604746504485
Auvergne-Rhône-Alpes;60+;2020-04-24;2355;367;225.0;111.5263289747297;17.380111564214776;10.655381749177996
Auvergne-Rhône-Alpes;whole;2020-04-24;2713;465;238.0;33.77580509480568;5.789070906407904;2.9630083348926477
Auvergne-Rhône-Alpes;0-29;2020-04-25;27;5;0.0;0.9523235106453896;0.17635620567507215;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-25;298;80;8.0;9.657774492261952;2.5926911388622687;0.2592691138862269
Auvergne-Rhône-Alpes;60+;2020-04-25;2338;352;207.0;110.72125568701402;16.669752780936243;9.802951209243757
Auvergne-Rhône-Alpes;whole;2020-04-25;2682;444;220.0;33.38986703437849;5.527628994505611;2.7389152675478257
Auvergne-Rhône-Alpes;0-29;2020-04-26;29;5;0.0;1.0228659929154185;0.17635620567507215;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-26;292;76;10.0;9.46332265684728;2.463056581919155;0.3240863923577836
Auvergne-Rhône-Alpes;60+;2020-04-26;2353;351;200.0;111.43161447029256;16.622395528717675;9.471450443713774
Auvergne-Rhône-Alpes;whole;2020-04-26;2694;439;215.0;33.53926241260837;5.465380920243161;2.676667193285375
Auvergne-Rhône-Alpes;0-29;2020-04-27;26;6;0.0;0.9170522695103752;0.2116274468100866;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-27;288;71;9.0;9.333688099904167;2.3010133857402635;0.2916777531220052
Auvergne-Rhône-Alpes;60+;2020-04-27;2330;349;180.0;110.34239766926548;16.527681024280536;8.524305399342397
Auvergne-Rhône-Alpes;whole;2020-04-27;2663;433;193.0;33.15332435218118;5.39068323112822;2.4027756665305926
Auvergne-Rhône-Alpes;0-29;2020-04-28;26;6;0.0;0.9170522695103752;0.2116274468100866;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-28;274;63;9.0;8.879967150603271;2.0417442718540366;0.2916777531220052
Auvergne-Rhône-Alpes;60+;2020-04-28;2285;320;172.0;108.21132131942989;15.15432070994204;8.145447381593847
Auvergne-Rhône-Alpes;whole;2020-04-28;2603;395;184.0;32.40634746103177;4.917597866733596;2.290729132858181
Auvergne-Rhône-Alpes;0-29;2020-04-29;30;8;0.0;1.058137234050433;0.28216992908011546;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-29;271;62;10.0;8.782741232895935;2.0093356326182583;0.3240863923577836
Auvergne-Rhône-Alpes;60+;2020-04-29;2219;308;165.0;105.08574267300433;14.586033683319213;7.813946616063864
Auvergne-Rhône-Alpes;whole;2020-04-29;2537;383;178.0;31.584672880767425;4.768202488503714;2.2160314437432405
Auvergne-Rhône-Alpes;0-29;2020-04-30;32;8;0.0;1.1286797163204618;0.28216992908011546;0.0
Auvergne-Rhône-Alpes;30-59;2020-04-30;266;59;9.0;8.620698036717044;1.9121097149109232;0.2916777531220052
Auvergne-Rhône-Alpes;60+;2020-04-30;2174;299;154.0;102.95466632316874;14.159818413352093;7.293016841659607
Auvergne-Rhône-Alpes;whole;2020-04-30;2489;371;164.0;30.987091367847896;4.618807110273833;2.041736835808379
Auvergne-Rhône-Alpes;0-29;2020-05-01;32;10;0.0;1.1286797163204618;0.3527124113501443;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-01;258;56;7.0;8.361428922830816;1.814883797203588;0.2268604746504485
Auvergne-Rhône-Alpes;60+;2020-05-01;2164;288;147.0;102.48109380098303;13.638888638947835;6.961516076129625
Auvergne-Rhône-Alpes;whole;2020-05-01;2470;359;154.0;30.750548685650585;4.469411732043952;1.917240687283478
Auvergne-Rhône-Alpes;0-29;2020-05-02;33;10;0.0;1.1639509574554763;0.3527124113501443;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-02;256;53;6.0;8.296611644359261;1.717657879496253;0.19445183541467015
Auvergne-Rhône-Alpes;60+;2020-05-02;2169;291;137.0;102.71788006207588;13.780960395603543;6.487943553943936
Auvergne-Rhône-Alpes;whole;2020-05-02;2474;359;143.0;30.800347145060545;4.469411732043952;1.7802949239060866
Auvergne-Rhône-Alpes;0-29;2020-05-03;36;11;0.0;1.2697646808605194;0.3879836524851587;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-03;256;54;3.0;8.296611644359261;1.7500665187320315;0.09722591770733507
Auvergne-Rhône-Alpes;60+;2020-05-03;2174;288;135.0;102.95466632316874;13.638888638947835;6.393229049506798
Auvergne-Rhône-Alpes;whole;2020-05-03;2482;358;138.0;30.89994406388047;4.456962117191461;1.7180468496436359
Auvergne-Rhône-Alpes;0-29;2020-05-04;27;8;0.0;0.9523235106453896;0.28216992908011546;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-04;259;50;2.0;8.393837562066595;1.6204319617889182;0.06481727847155673
Auvergne-Rhône-Alpes;60+;2020-05-04;2138;282;129.0;101.24980524330026;13.354745125636423;6.109085536195384
Auvergne-Rhône-Alpes;whole;2020-05-04;2439;345;131.0;30.364610625223392;4.2951171241090895;1.6308995456762052
Auvergne-Rhône-Alpes;0-29;2020-05-05;29;7;0.0;1.0228659929154185;0.24689868794510103;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-05;254;46;2.0;8.231794365887703;1.4907974048458046;0.06481727847155673
Auvergne-Rhône-Alpes;60+;2020-05-05;2101;256;130.0;99.4975869112132;12.123456567953632;6.156442788413953
Auvergne-Rhône-Alpes;whole;2020-05-05;2399;314;132.0;29.86662603112379;3.909179063681896;1.6433491605286952
Auvergne-Rhône-Alpes;0-29;2020-05-06;30;7;0.0;1.058137234050433;0.24689868794510103;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-06;240;42;0.0;7.778073416586806;1.3611628479026912;0.0
Auvergne-Rhône-Alpes;60+;2020-05-06;2015;242;127.0;95.42486322041628;11.460455036893668;6.014371031758246
Auvergne-Rhône-Alpes;whole;2020-05-06;2299;296;126.0;28.621664545874776;3.6850859963370746;1.5686514714137545
Auvergne-Rhône-Alpes;0-29;2020-05-07;28;6;0.0;0.9875947517804041;0.2116274468100866;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-07;226;41;2.0;7.324352467285909;1.3287542086669126;0.06481727847155673
Auvergne-Rhône-Alpes;60+;2020-05-07;1939;225;128.0;91.82571205180504;10.655381749177996;6.061728283976816
Auvergne-Rhône-Alpes;whole;2020-05-07;2206;276;131.0;27.463850364593192;3.4360936992872717;1.6308995456762052
Auvergne-Rhône-Alpes;0-29;2020-05-08;22;3;0.0;0.7759673049703174;0.1058137234050433;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-08;215;40;4.0;6.9678574356923475;1.2963455694311343;0.12963455694311346
Auvergne-Rhône-Alpes;60+;2020-05-08;1874;215;119.0;88.74749065759806;10.181809226992307;5.635513014009696
Auvergne-Rhône-Alpes;whole;2020-05-08;2128;262;123.0;26.492780406098966;3.2617990913524104;1.5313026268562844
Auvergne-Rhône-Alpes;0-29;2020-05-09;23;3;0.0;0.811238546105332;0.1058137234050433;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-09;214;39;4.0;6.935448796456568;1.263936930195356;0.12963455694311346
Auvergne-Rhône-Alpes;60+;2020-05-09;1869;209;115.0;88.51070439650523;9.897665713680894;5.446084005135421
Auvergne-Rhône-Alpes;whole;2020-05-09;2122;255;118.0;26.418082716984024;3.1746517873849798;1.4690545525938337
Auvergne-Rhône-Alpes;0-29;2020-05-10;23;3;0.0;0.811238546105332;0.1058137234050433;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-10;213;39;4.0;6.903040157220791;1.263936930195356;0.12963455694311346
Auvergne-Rhône-Alpes;60+;2020-05-10;1865;207;115.0;88.32127538763095;9.802951209243757;5.446084005135421
Auvergne-Rhône-Alpes;whole;2020-05-10;2116;253;119.0;26.343385027869086;3.149752557679999;1.4815041674463238
Auvergne-Rhône-Alpes;0-29;2020-05-11;21;3;0.0;0.7406960638353031;0.1058137234050433;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-11;207;34;5.0;6.70858832180612;1.1018937340164643;0.1620431961788918
Auvergne-Rhône-Alpes;60+;2020-05-11;1847;204;108.0;87.46884484769672;9.66087945258805;5.114583239605438
Auvergne-Rhône-Alpes;whole;2020-05-11;2089;245;113.0;26.00724542685185;3.0501556388600783;1.4068064783313832
Auvergne-Rhône-Alpes;0-29;2020-05-12;15;3;0.0;0.5290686170252165;0.1058137234050433;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-12;197;33;5.0;6.384501929448336;1.069485094780686;0.1620431961788918
Auvergne-Rhône-Alpes;60+;2020-05-12;1800;197;93.0;85.24305399342397;9.32937868705807;4.404224456326905
Auvergne-Rhône-Alpes;whole;2020-05-12;2026;236;98.0;25.222919691144973;2.9381091051876673;1.2200622555440312
Auvergne-Rhône-Alpes;0-29;2020-05-13;17;5;0.0;0.5996110992952454;0.17635620567507215;0.0
Auvergne-Rhône-Alpes;30-59;2020-05-13;190;31;6.0;6.157641454797888;1.0046678163091292;0.19445183541467015
Auvergne-Rhône-Alpes;60+;2020-05-13;1701;185;82.0;80.55468602378565;8.761091660435241;3.8832946819226475
Auvergne-Rhône-Alpes;whole;2020-05-13;1920;224;89.0;23.903260516781025;2.788713726957786;1.1080157218716202
Auvergne-Rhône-Alpes;0-29;2020-05-14;15;3;1.0;0.5290686170252165;0.1058137234050433;0.03527124113501443
Auvergne-Rhône-Alpes;30-59;2020-05-14;188;30;4.0;6.0928241763263316;0.9722591770733507;0.12963455694311346
Auvergne-Rhône-Alpes;60+;2020-05-14;1665;176;71.0;78.84982494391718;8.334876390468121;3.36236490751839
Auvergne-Rhône-Alpes;whole;2020-05-14;1878;211;75.0;23.38037669297644;2.626868733875414;0.9337211139367587
Auvergne-Rhône-Alpes;0-29;2020-05-15;17;3;1.0;0.5996110992952454;0.1058137234050433;0.03527124113501443
Auvergne-Rhône-Alpes;30-59;2020-05-15;183;26;2.0;5.93078098014744;0.8426246201302374;0.06481727847155673
Auvergne-Rhône-Alpes;60+;2020-05-15;1623;174;76.0;76.86082035073728;8.240161886030984;3.5991511686112347
Auvergne-Rhône-Alpes;whole;2020-05-15;1833;205;79.0;22.820144024614383;2.5521710447604735;0.9835195733467191
Auvergne-Rhône-Alpes;0-29;2020-05-16;17;2;1.0;0.5996110992952454;0.07054248227002886;0.03527124113501443
